介绍,网址,楼层,户型,小区,面积,时间,总价,单价,县区
京基御景印象二期 2室2厅 80.22平米,https://sz.lianjia.com/chengjiao/105102162807.html,中楼层(共29层),2室2厅,京基御景印象二期,80.22平米,2015年建板塔结合,249,31040,坪山
万科金域缇香 2室2厅 74.51平米,https://sz.lianjia.com/chengjiao/105102228949.html,中楼层(共34层),2室2厅,万科金域缇香,74.51平米,2013年建板塔结合,266,35700,坪山
深业东城国际 3室2厅 81.8平米,https://sz.lianjia.com/chengjiao/105102141682.html,中楼层(共31层),3室2厅,深业东城国际,81.8平米,2013年建塔楼,268,32763,坪山
京基御景印象四期 4室2厅 88.3平米,https://sz.lianjia.com/chengjiao/105102487303.html,低楼层(共33层),4室2厅,京基御景印象四期,88.3平米,2016年建板塔结合,301,34089,坪山
深业东城国际 3室2厅 89.76平米,https://sz.lianjia.com/chengjiao/105102577316.html,中楼层(共24层),3室2厅,深业东城国际,89.76平米,2012年建板楼,294,32732,坪山
盈富家园 1室1厅 38.5平米,https://sz.lianjia.com/chengjiao/105102189374.html,低楼层(共9层),1室1厅,盈富家园,38.5平米,2006年建板塔结合,85,21975,坪山
深业御园 4室2厅 88.29平米,https://sz.lianjia.com/chengjiao/105102107252.html,低楼层(共18层),4室2厅,深业御园,88.29平米,2012年建板楼,211,23899,坪山
深业东城国际 3室2厅 75.45平米,https://sz.lianjia.com/chengjiao/105102356897.html,低楼层(共33层),3室2厅,深业东城国际,75.45平米,2013年建塔楼,255,33798,坪山
坪山招商花园城北区 4室2厅 129.72平米,https://sz.lianjia.com/chengjiao/105101403650.html,高楼层(共33层),4室2厅,坪山招商花园城北区,129.72平米,2015年建板塔结合,505,38931,坪山
坪山招商花园城南区 3室2厅 88.89平米,https://sz.lianjia.com/chengjiao/105102236066.html,低楼层(共34层),3室2厅,坪山招商花园城南区,88.89平米,2015年建板塔结合,307,34538,坪山
深业东城国际 3室2厅 89平米,https://sz.lianjia.com/chengjiao/105101568334.html,高楼层(共24层),3室2厅,深业东城国际,89平米,2012年建板楼,313,35099,坪山
东方威尼斯花园 3室1厅 111.67平米,https://sz.lianjia.com/chengjiao/105102410044.html,高楼层(共11层),3室1厅,东方威尼斯花园,111.67平米,2003年建塔楼,330,29552,坪山
豪方菁园 2室2厅 47.21平米,https://sz.lianjia.com/chengjiao/105102239542.html,中楼层(共25层),2室2厅,豪方菁园,47.21平米,2012年建板塔结合,176,37281,坪山
六和城 3室2厅 85.93平米,https://sz.lianjia.com/chengjiao/105102170154.html,高楼层(共29层),3室2厅,六和城,85.93平米,2016年建塔楼,280,32585,坪山
豪方菁园 2室2厅 47.21平米,https://sz.lianjia.com/chengjiao/105102102497.html,低楼层(共25层),2室2厅,豪方菁园,47.21平米,2012年建板塔结合,175,37069,坪山
坪山招商花园城北区 2室2厅 76平米,https://sz.lianjia.com/chengjiao/105102401334.html,低楼层(共33层),2室2厅,坪山招商花园城北区,76平米,2015年建板塔结合,271,35658,坪山
金地朗悦 3室2厅 87.96平米,https://sz.lianjia.com/chengjiao/105101548695.html,中楼层(共33层),3室2厅,金地朗悦,87.96平米,2014年建塔楼,256,29105,坪山
深业东城国际 3室2厅 75.41平米,https://sz.lianjia.com/chengjiao/105101858199.html,高楼层(共24层),3室2厅,深业东城国际,75.41平米,2013年建塔楼,253,33550,坪山
龙光玖云著 2室1厅 37.48平米,https://sz.lianjia.com/chengjiao/105102449242.html,高楼层(共22层),2室1厅,龙光玖云著,37.48平米,2017年建板塔结合,110,29349,坪山
盈富家园 1室0厅 38.25平米,https://sz.lianjia.com/chengjiao/105102188893.html,低楼层(共9层),1室0厅,盈富家园,38.25平米,2006年建板塔结合,83,21700,坪山
盈富家园 1室0厅 38.51平米,https://sz.lianjia.com/chengjiao/105102240328.html,中楼层(共9层),1室0厅,盈富家园,38.51平米,2006年建板塔结合,84,21813,坪山
深业御园 3室2厅 75.6平米,https://sz.lianjia.com/chengjiao/105102131766.html,中楼层(共33层),3室2厅,深业御园,75.6平米,2012年建板楼,202,26720,坪山
深业御园 4室2厅 89.44平米,https://sz.lianjia.com/chengjiao/105101568433.html,高楼层(共18层),4室2厅,深业御园,89.44平米,2012年建板塔结合,229,25582,坪山
盈富家园 2室2厅 76.3平米,https://sz.lianjia.com/chengjiao/105101632786.html,高楼层(共9层),2室2厅,盈富家园,76.3平米,2006年建板塔结合,170,22281,坪山
祥祺滨河名苑 3室2厅 89平米,https://sz.lianjia.com/chengjiao/105102398897.html,高楼层(共33层),3室2厅,祥祺滨河名苑,89平米,2015年建板塔结合,263,29551,坪山
京基御景印象四期 4室2厅 89.08平米,https://sz.lianjia.com/chengjiao/105101552252.html,低楼层(共33层),4室2厅,京基御景印象四期,89.08平米,2016年建板塔结合,325,36485,坪山
盈富家园 1室0厅 38.5平米,https://sz.lianjia.com/chengjiao/105101858392.html,中楼层(共8层),1室0厅,盈富家园,38.5平米,2006年建板塔结合,84,21767,坪山
盈富家园 1室1厅 43.24平米,https://sz.lianjia.com/chengjiao/105101814130.html,低楼层(共9层),1室1厅,盈富家园,43.24平米,2006年建板塔结合,89,20468,坪山
坪山首座 3室2厅 83平米,https://sz.lianjia.com/chengjiao/105102063827.html,高楼层(共18层),3室2厅,坪山首座,83平米,塔楼,180,21687,坪山
深业东城国际 3室2厅 75.48平米,https://sz.lianjia.com/chengjiao/105102138944.html,高楼层(共33层),3室2厅,深业东城国际,75.48平米,2011年建塔楼,258,34182,坪山
盈富家园 1室0厅 38.7平米,https://sz.lianjia.com/chengjiao/105101927020.html,中楼层(共9层),1室0厅,盈富家园,38.7平米,2006年建板塔结合,81,20931,坪山
深业御园 1室1厅 40.6平米,https://sz.lianjia.com/chengjiao/105101786599.html,中楼层(共32层),1室1厅,深业御园,40.6平米,2012年建板塔结合,108,26601,坪山
盈富家园 1室0厅 43.01平米,https://sz.lianjia.com/chengjiao/105102293713.html,高楼层(共9层),1室0厅,盈富家园,43.01平米,2006年建板塔结合,92,21391,坪山
坪山招商花园城南区 2室2厅 76.44平米,https://sz.lianjia.com/chengjiao/105101390690.html,高楼层(共28层),2室2厅,坪山招商花园城南区,76.44平米,2015年建板塔结合,279,36434,坪山
万科金域缇香 2室2厅 74.15平米,https://sz.lianjia.com/chengjiao/105101548741.html,低楼层(共34层),2室2厅,万科金域缇香,74.15平米,2013年建板塔结合,280,37762,坪山
力高君御国际 4室2厅 87.9平米,https://sz.lianjia.com/chengjiao/105102121455.html,低楼层(共35层),4室2厅,力高君御国际,87.9平米,2015年建板塔结合,305,34699,坪山
深业东城国际 3室2厅 74.5平米,https://sz.lianjia.com/chengjiao/105101568511.html,低楼层(共24层),3室2厅,深业东城国际,74.5平米,2013年建塔楼,245,32860,坪山
坪山招商花园城北区 3室2厅 89.16平米,https://sz.lianjia.com/chengjiao/105101999183.html,高楼层(共33层),3室2厅,坪山招商花园城北区,89.16平米,2015年建板塔结合,317,35498,坪山
盈富家园 1室0厅 40.39平米,https://sz.lianjia.com/chengjiao/105102286679.html,中楼层(共9层),1室0厅,盈富家园,40.39平米,2006年建板塔结合,81,20055,坪山
深业御园 3室2厅 75.56平米,https://sz.lianjia.com/chengjiao/105102206838.html,中楼层(共33层),3室2厅,深业御园,75.56平米,2012年建板塔结合,199,26337,坪山
万科金域东郡 3室2厅 104.79平米,https://sz.lianjia.com/chengjiao/105101433258.html,低楼层(共21层),3室2厅,万科金域东郡,104.79平米,2008年建塔楼,350,33401,坪山
深业御园 1室1厅 40.66平米,https://sz.lianjia.com/chengjiao/105102252264.html,低楼层(共32层),1室1厅,深业御园,40.66平米,2012年建板塔结合,113,27792,坪山
豪方菁园 2室2厅 56.73平米,https://sz.lianjia.com/chengjiao/105102224811.html,中楼层(共25层),2室2厅,豪方菁园,56.73平米,2012年建板塔结合,196,34550,坪山
盈富家园 1室0厅 41.57平米,https://sz.lianjia.com/chengjiao/105102209769.html,中楼层(共9层),1室0厅,盈富家园,41.57平米,2006年建板塔结合,85,20448,坪山
深业东城国际 3室2厅 89.52平米,https://sz.lianjia.com/chengjiao/105102098479.html,高楼层(共31层),3室2厅,深业东城国际,89.52平米,2013年建塔楼,290,32395,坪山
金地朗悦 2室2厅 73.56平米,https://sz.lianjia.com/chengjiao/105101687852.html,高楼层(共33层),2室2厅,金地朗悦,73.56平米,2014年建塔楼,241,32763,坪山
深业御园 1室0厅 40.6平米,https://sz.lianjia.com/chengjiao/105101819377.html,中楼层(共33层),1室0厅,深业御园,40.6平米,2012年建板塔结合,105,25739,坪山
盈富家园 1室0厅 39.47平米,https://sz.lianjia.com/chengjiao/105102191059.html,高楼层(共9层),1室0厅,盈富家园,39.47平米,2006年建板塔结合,82,20776,坪山
京基御景印象二期 2室2厅 84.07平米,https://sz.lianjia.com/chengjiao/105101414828.html,中楼层(共33层),2室2厅,京基御景印象二期,84.07平米,2015年建板塔结合,260,30927,坪山
坪山招商花园城北区 2室2厅 76.12平米,https://sz.lianjia.com/chengjiao/105102054040.html,高楼层(共33层),2室2厅,坪山招商花园城北区,76.12平米,2012年建板塔结合,266,34945,坪山
大东城二期 3室2厅 89.06平米,https://sz.lianjia.com/chengjiao/105101761515.html,中楼层(共31层),3室2厅,大东城二期,89.06平米,2014年建板塔结合,352,39524,坪山
坪山招商花园城北区 2室1厅 76平米,https://sz.lianjia.com/chengjiao/105101913911.html,低楼层(共33层),2室1厅,坪山招商花园城北区,76平米,2015年建板塔结合,270,35527,坪山
京基御景印象三期 3室2厅 89.23平米,https://sz.lianjia.com/chengjiao/105100974625.html,低楼层(共33层),3室2厅,京基御景印象三期,89.23平米,2015年建板塔结合,315,35303,坪山
祥祺滨河名苑 3室2厅 88.24平米,https://sz.lianjia.com/chengjiao/105101739973.html,中楼层(共33层),3室2厅,祥祺滨河名苑,88.24平米,2015年建板塔结合,247,27992,坪山
天峦湖 3室1厅 88.52平米,https://sz.lianjia.com/chengjiao/105101356570.html,高楼层(共32层),3室1厅,天峦湖,88.52平米,2016年建塔楼,283,31971,坪山
万科金域东郡 3室2厅 89.41平米,https://sz.lianjia.com/chengjiao/105101723269.html,中楼层(共23层),3室2厅,万科金域东郡,89.41平米,2009年建塔楼,335,37468,坪山
深业御园 4室2厅 88.46平米,https://sz.lianjia.com/chengjiao/105101537144.html,高楼层(共18层),4室2厅,深业御园,88.46平米,2012年建板楼,224,25323,坪山
坪山招商花园城北区 3室2厅 88.94平米,https://sz.lianjia.com/chengjiao/105101929533.html,低楼层(共33层),3室2厅,坪山招商花园城北区,88.94平米,2015年建板塔结合,312,35080,坪山
京基御景印象三期 3室2厅 78.24平米,https://sz.lianjia.com/chengjiao/105101526119.html,低楼层(共32层),3室2厅,京基御景印象三期,78.24平米,2015年建板塔结合,278,35532,坪山
万科金域东郡 2室2厅 70.19平米,https://sz.lianjia.com/chengjiao/105101834204.html,高楼层(共16层),2室2厅,万科金域东郡,70.19平米,2008年建塔楼,230,32769,坪山
盈富家园 2室2厅 75.19平米,https://sz.lianjia.com/chengjiao/105101858394.html,中楼层(共9层),2室2厅,盈富家园,75.19平米,2006年建板塔结合,170,22610,坪山
深业御园 3室2厅 75.6平米,https://sz.lianjia.com/chengjiao/105101876387.html,中楼层(共33层),3室2厅,深业御园,75.6平米,2012年建板楼,206,27223,坪山
万科金域缇香 2室2厅 74.65平米,https://sz.lianjia.com/chengjiao/105101475205.html,低楼层(共28层),2室2厅,万科金域缇香,74.65平米,2013年建板塔结合,249,33356,坪山
深业御园 3室2厅 77.66平米,https://sz.lianjia.com/chengjiao/105101812076.html,高楼层(共33层),3室2厅,深业御园,77.66平米,2012年建板楼,199,25625,坪山
深业东城国际 3室2厅 74.71平米,https://sz.lianjia.com/chengjiao/105101650531.html,高楼层(共33层),3室2厅,深业东城国际,74.71平米,2011年建塔楼,249,33262,坪山
启兴生活区 1室1厅 36.28平米,https://sz.lianjia.com/chengjiao/105101680533.html,高楼层(共8层),1室1厅,启兴生活区,36.28平米,2007年建板楼,48,13231,坪山
中粮一品澜山花园 2室2厅 79.01平米,https://sz.lianjia.com/chengjiao/105101346847.html,中楼层(共32层),2室2厅,中粮一品澜山花园,79.01平米,2013年建板塔结合,190,23959,坪山
深业御园 3室2厅 75.64平米,https://sz.lianjia.com/chengjiao/105101418827.html,高楼层(共32层),3室2厅,深业御园,75.64平米,2012年建板塔结合,199,26309,坪山
六和城 3室2厅 83.42平米,https://sz.lianjia.com/chengjiao/105101479422.html,高楼层(共29层),3室2厅,六和城,83.42平米,2016年建板塔结合,288,34525,坪山
万科金域缇香 4室2厅 89.16平米,https://sz.lianjia.com/chengjiao/105101386794.html,低楼层(共34层),4室2厅,万科金域缇香,89.16平米,2013年建板塔结合,320,35891,坪山
力高君御国际 4室2厅 88.03平米,https://sz.lianjia.com/chengjiao/105101579302.html,中楼层(共35层),4室2厅,力高君御国际,88.03平米,2015年建板塔结合,344,38987,坪山
六和城 3室2厅 83平米,https://sz.lianjia.com/chengjiao/105101548703.html,高楼层(共29层),3室2厅,六和城,83平米,2014年建板塔结合,253,30482,坪山
坪山招商花园城北区 3室2厅 88.39平米,https://sz.lianjia.com/chengjiao/105101443636.html,高楼层(共32层),3室2厅,坪山招商花园城北区,88.39平米,2015年建板塔结合,321,36317,坪山
京基御景印象一期 4室2厅 89.27平米,https://sz.lianjia.com/chengjiao/105101052904.html,高楼层(共31层),4室2厅,京基御景印象一期,89.27平米,2015年建板塔结合,365,40888,坪山
盈富家园 1室0厅 38.7平米,https://sz.lianjia.com/chengjiao/105101432789.html,中楼层(共8层),1室0厅,盈富家园,38.7平米,2006年建板塔结合,83,21448,坪山
万科金域缇香 4室2厅 89.58平米,https://sz.lianjia.com/chengjiao/105101391019.html,高楼层(共34层),4室2厅,万科金域缇香,89.58平米,2013年建板塔结合,339,37844,坪山
中粮一品澜山花园 2室2厅 79.01平米,https://sz.lianjia.com/chengjiao/105101393257.html,中楼层(共32层),2室2厅,中粮一品澜山花园,79.01平米,2013年建板塔结合,196,24744,坪山
深业御园 5室2厅 135.88平米,https://sz.lianjia.com/chengjiao/105101017439.html,低楼层(共18层),5室2厅,深业御园,135.88平米,2012年建板塔结合,320,23551,坪山
深业东城上邸 2室2厅 65.14平米,https://sz.lianjia.com/chengjiao/105101211271.html,低楼层(共31层),2室2厅,深业东城上邸,65.14平米,2009年建塔楼,200,30685,坪山
金田风华苑 2室1厅 72.42平米,https://sz.lianjia.com/chengjiao/105101106418.html,高楼层(共19层),2室1厅,金田风华苑,72.42平米,2008年建塔楼,133,18310,坪山
京基御景印象四期 4室2厅 89平米,https://sz.lianjia.com/chengjiao/105101268995.html,低楼层(共33层),4室2厅,京基御景印象四期,89平米,2016年建板塔结合,293,32922,坪山
中粮一品澜山花园 2室2厅 80.74平米,https://sz.lianjia.com/chengjiao/105101102219.html,中楼层(共32层),2室2厅,中粮一品澜山花园,80.74平米,2013年建板塔结合,213,26381,坪山
万科金域缇香二期 3室2厅 89.31平米,https://sz.lianjia.com/chengjiao/105101126882.html,低楼层(共23层),3室2厅,万科金域缇香二期,89.31平米,2014年建板塔结合,542,60688,坪山
力高君御国际 4室2厅 88.26平米,https://sz.lianjia.com/chengjiao/105101044074.html,高楼层(共35层),4室2厅,力高君御国际,88.26平米,2016年建板塔结合,329,37277,坪山
坪山首座 2室1厅 67.14平米,https://sz.lianjia.com/chengjiao/105100991962.html,高楼层(共18层),2室1厅,坪山首座,67.14平米,塔楼,140,20852,坪山
盈富家园 1室0厅 41.77平米,https://sz.lianjia.com/chengjiao/105100527491.html,中楼层(共9层),1室0厅,盈富家园,41.77平米,2006年建板塔结合,74,17597,坪山
京基御景印象一期 4室2厅 89.47平米,https://sz.lianjia.com/chengjiao/105100923555.html,中楼层(共31层),4室2厅,京基御景印象一期,89.47平米,2015年建板塔结合,350,39097,坪山
中粮一品澜山花园 3室2厅 88.32平米,https://sz.lianjia.com/chengjiao/105100892346.html,中楼层(共7层),3室2厅,中粮一品澜山花园,88.32平米,2013年建板塔结合,218,24683,坪山
深业东城上邸 2室2厅 76平米,https://sz.lianjia.com/chengjiao/105100904498.html,高楼层(共31层),2室2厅,深业东城上邸,76平米,2009年建塔楼,251,33027,坪山
深业东城上邸 2室1厅 75平米,https://sz.lianjia.com/chengjiao/105100891291.html,中楼层(共31层),2室1厅,深业东城上邸,75平米,2009年建塔楼,260,34667,坪山
京基御景印象一期 3室2厅 78.02平米,https://sz.lianjia.com/chengjiao/105100808861.html,低楼层(共31层),3室2厅,京基御景印象一期,78.02平米,2016年建板塔结合,292,37363,坪山
金地朗悦 3室2厅 88.58平米,https://sz.lianjia.com/chengjiao/105100708275.html,高楼层(共33层),3室2厅,金地朗悦,88.58平米,2014年建塔楼,280,31610,坪山
京基御景印象四期 3室2厅 88.66平米,https://sz.lianjia.com/chengjiao/105100734821.html,中楼层(共33层),3室2厅,京基御景印象四期,88.66平米,2016年建板塔结合,295,33274,坪山
深业东城上邸 3室2厅 86.44平米,https://sz.lianjia.com/chengjiao/105100728135.html,中楼层(共32层),3室2厅,深业东城上邸,86.44平米,2009年建塔楼,280,32393,坪山
万科金域缇香 2室2厅 74.33平米,https://sz.lianjia.com/chengjiao/105100697706.html,高楼层(共34层),2室2厅,万科金域缇香,74.33平米,2013年建板塔结合,258,34643,坪山
深业东城国际 3室2厅 86.89平米,https://sz.lianjia.com/chengjiao/105100566983.html,中楼层(共33层),3室2厅,深业东城国际,86.89平米,2011年建塔楼,270,31074,坪山
京基御景印象三期 3室2厅 89平米,https://sz.lianjia.com/chengjiao/105100482721.html,高楼层(共33层),3室2厅,京基御景印象三期,89平米,板塔结合,276,31012,坪山
金田风华苑 2室2厅 72.48平米,https://sz.lianjia.com/chengjiao/105100378655.html,高楼层(共19层),2室2厅,金田风华苑,72.48平米,2008年建塔楼,115,15867,坪山
中粮一品澜山花园 2室1厅 68.98平米,https://sz.lianjia.com/chengjiao/105100174093.html,中楼层(共32层),2室1厅,中粮一品澜山花园,68.98平米,2013年建板塔结合,170,24645,坪山
深业东城国际 3室2厅 89平米,https://sz.lianjia.com/chengjiao/105100313576.html,高楼层(共24层),3室2厅,深业东城国际,89平米,2013年建塔楼,282,31686,坪山
中粮一品澜山花园 3室2厅 87.58平米,https://sz.lianjia.com/chengjiao/SZPS90985036.html,中楼层(共7层),3室2厅,中粮一品澜山花园,87.58平米,2013年建板塔结合,180,20553,坪山
万科金域东郡 --室--厅 88.78平米,https://sz.lianjia.com/chengjiao/SZ0000845276.html,高楼层(共21层),#NAME?,万科金域东郡,88.78平米,2008年建塔楼,86,9676,坪山
万科金域东郡 --室--厅 89.4平米,https://sz.lianjia.com/chengjiao/SZ0000845279.html,低楼层(共23层),#NAME?,万科金域东郡,89.4平米,2009年建塔楼,89,9900,坪山
万科金域东郡 --室--厅 89.61平米,https://sz.lianjia.com/chengjiao/SZ0000845275.html,中楼层(共21层),#NAME?,万科金域东郡,89.61平米,2008年建塔楼,95,10602,坪山
万科金域东郡 --室--厅 89.13平米,https://sz.lianjia.com/chengjiao/SZ0000845277.html,中楼层(共21层),#NAME?,万科金域东郡,89.13平米,2008年建塔楼,90,10098,坪山
万科金域东郡 --室--厅 88.68平米,https://sz.lianjia.com/chengjiao/SZ0000845278.html,低楼层(共21层),#NAME?,万科金域东郡,88.68平米,2008年建塔楼,80,8977,坪山
深业东城上邸 --室--厅 89.43平米,https://sz.lianjia.com/chengjiao/SZ0000849039.html,中楼层(共31层),#NAME?,深业东城上邸,89.43平米,2009年建塔楼,75,8342,坪山
万科金域东郡 --室--厅 68.18平米,https://sz.lianjia.com/chengjiao/SZ0000845274.html,中楼层(共16层),#NAME?,万科金域东郡,68.18平米,2008年建塔楼,68,9901,坪山
万科金域东郡 --室--厅 89.14平米,https://sz.lianjia.com/chengjiao/SZ0000845280.html,中楼层(共23层),#NAME?,万科金域东郡,89.14平米,2009年建塔楼,70,7831,坪山
